# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	7179
#@/user_id	ff85f8fa-9b37-4781-86d8-a82aef9341bf
a 	啊	c=21 d=1.40163 t=7179
a la bo 	阿拉伯	c=2 d=0.000668729 t=7179
a mo 	阿莫	c=1 d=2.57544e-12 t=7179
ai 	唉	c=27 d=3.42554 t=7179
ai 	愛	c=0 d=0.00706512 t=7179
ai ya 	哎呀	c=1 d=0.0461896 t=7179
ai you 	哎呦	c=4 d=0.222017 t=7179
an 	按	c=4 d=0.1 t=4152
an jian 	按鍵	c=2 d=1.86936 t=1645
an quan 	安全	c=1 d=0.0488012 t=7179
an xia qu 	按下去	c=1 d=0.644036 t=7179
an xin 	安心	c=1 d=0.32628 t=7179
an zhao 	按照	c=5 d=0.540641 t=7179
an zhuang 	安裝	c=20 d=0.344728 t=7179
an zhuang zhu shou 	安裝助手	c=1 d=1 t=2974
android 	Android	c=4 d=0.0199409 t=7179
apple 	Apple	c=1 d=0.00153381 t=7179
archlinux 	ArchLinux	c=2 d=0.0808629 t=7179
ba 	吧	c=44 d=1.68355 t=7179
ba 	把	c=6 d=1.22257 t=7179
ba hao 	八號	c=1 d=0.00416933 t=7179
ba yue 	八月	c=1 d=1 t=211
bai du 	百度	c=3 d=2.21489 t=7179
bai du bai ke 	百度百科	c=1 d=6.84094e-05 t=7179
bai du yun 	百度雲	c=1 d=1 t=2673
bai fen bi 	百分比	c=1 d=1 t=3372
bai ke 	百科	c=1 d=0.0357931 t=7179
bai tian 	白天	c=1 d=0.00597602 t=7179
bai tuo 	拜託	c=1 d=0.000116806 t=7179
ban 	半	c=0 d=0.0366045 t=7179
ban 	版	c=2 d=0.661244 t=7179
ban ben 	版本	c=5 d=0.97531 t=7179
ban ben hao 	版本號	c=1 d=1 t=304
ban diao 	辦掉	c=1 d=0.408608 t=7179
ban fa 	辦法	c=5 d=0.0575564 t=7179
ban ji 	班級	c=1 d=2.78369e-15 t=7179
ban mao qian 	半毛錢	c=1 d=0.367879 t=7179
ban mian 	版面	c=1 d=1.13099e-07 t=7179
ban tian 	半天	c=3 d=0.00621562 t=7179
ban zai 	板載	c=0 d=0.0232236 t=7179
ban zai xian ka 	板載顯卡	c=1 d=0.2334 t=7179
bang 	磅	c=26 d=0.0347057 t=7179
bang ding 	綁定	c=4 d=1.84875e-09 t=7179
bang mang 	幫忙	c=2 d=0.0516043 t=7179
bang ni 	幫你	c=7 d=0.430421 t=7179
bang shang 	幫上	c=0 d=0.1 t=2560
bang shang mang 	幫上忙	c=1 d=1 t=2561
bang wo 	幫我	c=7 d=1.95101 t=7179
bang zhu 	幫助	c=2 d=1.36089 t=7179
bao 	保	c=1 d=1 t=997
bao 	包	c=5 d=0.965605 t=7179
bao chi 	抱持	c=1 d=1 t=4362
bao chi zai 	保持在	c=1 d=1 t=4163
bao cun 	保存	c=1 d=3.06645e-06 t=7179
bao cun dao 	保存到	c=1 d=1 t=275
bao cuo 	報錯	c=1 d=2.22706e-08 t=7179
bao fo jiao 	抱佛腳	c=1 d=0.0769192 t=7179
bao gao 	報告	c=2 d=0.0695994 t=7179
bao guan li 	包管理	c=2 d=0.644617 t=7179
bao han 	包含	c=3 d=0.177284 t=7179
bao jun 	寶俊	c=1 d=1 t=2374
bao kuo 	包括	c=1 d=1.37189e-14 t=7179
bao liu 	保留	c=1 d=1 t=3305
bao qian 	抱歉	c=1 d=0.20089 t=7179
bao xian 	保險	c=3 d=2.54304 t=2904
bao xiu 	保修	c=1 d=1 t=963
bao you 	包郵	c=1 d=1 t=3438
bao zhang 	保障	c=1 d=2.58211e-13 t=7179
bao zheng 	保證	c=3 d=0.0128093 t=7179
bao zheng shi 	保證是	c=1 d=0.128735 t=7179
bei 	倍	c=7 d=0.00237253 t=7179
bei 	唄	c=2 d=1.27822e-06 t=7179
bei 	被	c=6 d=0.539261 t=7179
bei ban 	背板	c=1 d=0.453845 t=7179
bei da 	北大	c=1 d=0.000262568 t=7179
bei fang 	北方	c=1 d=0.00201931 t=7179
bei fen 	備份	c=4 d=0.68414 t=3910
bei jiao 	北郊	c=1 d=1 t=4064
bei jing 	北京	c=8 d=0.992447 t=7179
bei jing da xue 	北京大學	c=2 d=0.000596813 t=7179
bei jing lian he da xue 	北京聯合大學	c=1 d=1.04674e-08 t=7179
bei jing shi 	北京市	c=1 d=1 t=2542
bei ke da 	北科大	c=1 d=1 t=3063
bei pin 	倍頻	c=1 d=1 t=4113
bei ti 	北體	c=1 d=6.52637e-10 t=7179
bei zhu 	備註	c=2 d=1.90032 t=4213
ben 	本	c=3 d=0.00185342 t=7179
ben di 	本地	c=3 d=0.66365 t=7179
ben di wen jian 	本地文件	c=1 d=1 t=2566
ben jie 	本節	c=2 d=0.00489778 t=7179
ben ke 	本科	c=1 d=1 t=1726
ben ke cheng 	本課程	c=1 d=1.32471e-14 t=7179
ben ke ti 	本課題	c=1 d=4.12139e-14 t=7179
ben lai 	本來	c=1 d=0.603506 t=7179
ben nian 	本年	c=1 d=1 t=948
ben shen 	本身	c=3 d=0.398519 t=7179
ben zhang 	本章	c=2 d=0.00484905 t=7179
beng kui 	崩潰	c=4 d=3.65743 t=4660
bi 	比	c=3 d=0.748264 t=7179
bi dui 	比對	c=1 d=1 t=3055
bi fang 	比方	c=1 d=1.43802e-09 t=7179
bi ji 	筆記	c=0 d=0.00682212 t=7179
bi ji ben 	筆記本	c=5 d=5.92301e-12 t=7179
bi jiao 	比較	c=3 d=0.357597 t=7179
bi jiao da 	比較大	c=1 d=0.323033 t=7179
bi jing 	畢竟	c=1 d=1 t=409
bi li 	比例	c=1 d=1 t=3411
bi mian 	避免	c=1 d=1 t=2523
bi ru 	比如	c=13 d=1.27804 t=7179
bi xu 	必須	c=1 d=0.891366 t=7179
bi yao 	必要	c=2 d=0.0196439 t=7179
bi ye 	畢業	c=5 d=0.0459593 t=7179
bi ye lun wen 	畢業論文	c=10 d=0.00237858 t=7179
bi ye she ji 	畢業設計	c=1 d=1 t=2009
bi yun tao 	避孕套	c=1 d=0.647265 t=7179
bi zhi 	壁紙	c=3 d=0.878386 t=7179
bi zi 	鼻子	c=1 d=6.86098e-10 t=7179
bian 	便	c=1 d=1.02832e-05 t=7179
bian 	編	c=1 d=0.0160027 t=7179
bian 	變	c=1 d=0.000231716 t=7179
bian 	邊	c=1 d=1 t=3741
bian cheng 	編程	c=1 d=2.09736e-08 t=7179
bian cheng 	變成	c=1 d=0.631284 t=7179
bian de 	變得	c=3 d=0.621885 t=7179
bian hao 	編號	c=4 d=0.0221262 t=7179
bian hua 	變化	c=1 d=1.18898e-07 t=7179
bian ji 	編輯	c=6 d=2.0969 t=3080
bian ji qi 	編輯器	c=5 d=0.063115 t=7179
bian jiao 	變焦	c=1 d=3.26613e-13 t=7179
bian jie 	邊界	c=1 d=1 t=3120
bian kuang 	邊框	c=1 d=1 t=3116
bian li 	便利	c=1 d=2.45618e-13 t=7179
bian liang 	變量	c=1 d=4.39519e-06 t=7179
bian ma 	編碼	c=2 d=5.0831e-10 t=7179
bian se 	變色	c=1 d=0.208045 t=7179
bian shi 	辨識	c=1 d=1.99026e-09 t=7179
bian xie 	編寫	c=2 d=4.28644e-12 t=7179
bian xing 	變形	c=1 d=0.302704 t=7179
bian yi 	便宜	c=1 d=3.44306e-16 t=7179
bian yi 	編譯	c=26 d=0.605312 t=7179
biao 	表	c=1 d=0.00369786 t=7179
biao dian 	標點	c=4 d=8.33972e-08 t=7179
biao ge 	表格	c=5 d=1.45016e-05 t=7179
biao hao 	標號	c=6 d=0.0105424 t=7179
biao ji 	標記	c=2 d=2.25573e-05 t=7179
biao ma 	彪馬	c=1 d=0.169483 t=7179
biao mian 	表面	c=2 d=1.99005 t=4160
biao pei 	標配	c=2 d=1.96561 t=3763
biao qian 	標籤	c=1 d=1 t=1469
biao shi 	表示	c=3 d=1.1942 t=7179
biao shu 	表述	c=2 d=1.60512 t=7179
biao ti 	標題	c=22 d=0.585503 t=7179
biao zhun 	標準	c=1 d=0.813413 t=7179
biao zhun bian yi 	標準編譯	c=1 d=0.203926 t=7179
bie 	別	c=3 d=0.0296012 t=7179
bie niu 	彆扭	c=1 d=0.203926 t=7179
bie ren 	別人	c=5 d=1.15276 t=7179
bie shuo 	別說	c=1 d=0.000234044 t=7179
bin 	彬	c=1 d=1 t=1748
bin guan 	賓館	c=1 d=3.61898e-14 t=7179
bing 	並	c=0 d=0.0404542 t=7179
bing bu 	並不	c=2 d=7.9675e-05 t=7179
bing bu cun zai 	並不存在	c=1 d=2.46128e-08 t=7179
bing bu da 	並不大	c=1 d=0.40657 t=7179
bing bu fu za 	並不複雜	c=1 d=0.000800719 t=7179
bing bu neng 	並不能	c=1 d=1 t=613
bing bu shi 	並不是	c=4 d=0.299471 t=7179
bing bu zou xiao 	並不奏效	c=1 d=1 t=1848
bing gan 	餅乾	c=2 d=1.67368 t=3818
bing lie 	並列	c=1 d=2.12501e-15 t=7179
bing mei you 	並沒有	c=2 d=5.49479e-07 t=7179
bing wei 	並未	c=2 d=0.0668703 t=7179
bing wu 	並無	c=0 d=0.000474815 t=7179
bing wu ding yi 	並無定義	c=1 d=0.00477195 t=7179
bo fang 	播放	c=2 d=0.29717 t=7179
bo hao 	撥號	c=3 d=1.09005 t=3001
bo he 	薄荷	c=1 d=1 t=2575
